@relation 'MARSYAS_EMPTYhectorDataset.arff-weka.filters.unsupervised.attribute.Remove-R1,3-5,8-9,17-29,31,33-35,37-60,63,66-76,78-94,96-97,99-124'

@attribute Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
0.01749,6.262107,0.541163,0.317465,0.039032,0.301626,0.413224,0.668896,0.33654,0.034434,1.249638,0.017611,5.329309,0.093565,0.285265,0.000924,0.004464,0.295887,0.00375,2.13084,0
0.020972,5.455094,1.199712,0.511698,0.294743,0.280332,0.068519,0.153346,0.478094,0.332496,1.311298,0.011065,3.995553,0.085323,0.351367,0.00514,0.012121,0.171396,0.003556,2.256264,0
0.014513,6.928856,0.643396,0.292992,0.263795,0.500041,0.464766,0.930057,0.740282,0.321139,1.203142,0.015005,3.998084,0.074159,0.199256,0.002267,0.007278,0.263882,0.003758,1.952815,0
0.014302,6.198614,0.658961,0.649339,0.409645,0.29004,0.338243,0.748609,1.015239,0.522614,1.215742,0.00496,4.121445,0.065977,0.177241,0.001994,0.006614,0.220855,0.003777,1.989558,0
0.016855,6.653818,0.589697,0.495942,0.085777,-0.039138,0.198057,0.753216,0.85345,0.251159,1.301812,0.019705,3.54704,0.082901,0.272612,0.003516,0.011589,0.284136,0.003856,1.907411,0
0.022223,5.786078,0.818227,0.380732,0.329525,0.166974,0.13867,0.413873,0.178371,-0.0861,1.362783,0.016432,4.011948,0.110586,0.653364,0.004145,0.01104,0.360716,0.006721,2.180113,0
0.019899,6.118712,0.400975,1.078132,0.371051,-0.255527,0.645893,1.31235,0.242229,-0.37744,1.208459,0.010705,4.168831,0.0728,0.193127,0.003592,0.013544,0.456961,0.003928,2.098125,0
0.017159,6.338655,0.889587,0.226664,-0.138696,0.186747,0.324558,0.531805,0.307621,0.044053,1.330049,0.010629,3.854565,0.070677,0.304916,0.002509,0.006634,0.429536,0.003773,2.046709,0
0.014865,5.96278,0.974517,0.391336,-0.133618,0.519431,0.817889,0.841623,0.657018,0.177397,1.228329,0.013316,4.454503,0.06914,0.17984,0.001426,0.004993,0.178558,0.003708,2.017891,0
0.014289,6.840309,0.493427,0.919655,0.014589,-0.078829,0.089668,0.622194,0.566891,0.402396,1.234649,0.004962,3.791301,0.075508,0.213992,0.002447,0.009127,0.285838,0.004124,1.878373,0
0.015326,6.774888,0.372343,0.46085,0.092415,-0.095069,-0.049775,0.262278,0.435377,0.521952,1.324982,0.023766,3.894932,0.079526,0.331319,0.002174,0.005457,0.383547,0.004098,1.831075,0
0.016404,7.572785,0.188461,0.18848,0.113044,-0.127901,-0.073041,0.45006,0.399455,0.091125,1.297778,0.013697,3.747122,0.077848,0.294787,0.002656,0.006995,0.164557,0.00401,1.891302,0
0.014602,6.795382,0.842322,0.135612,-0.033346,0.142658,0.334513,0.546173,0.358611,0.272655,1.308977,0.019271,3.737112,0.066039,0.257138,0.002173,0.006886,0.305932,0.004529,1.973662,0
0.020355,6.638732,0.508193,0.285031,0.068041,0.248568,-0.229683,0.144244,0.370048,0.035203,1.409839,0.011553,3.6647,0.088913,0.492593,0.003712,0.009619,0.304942,0.004327,1.785399,0
